"IndivYr","AvgGDM"
"140040-14",42.1195795406964
"140050-14",44.2887468898976
"140060-14",39.9121206916837
"140070-14",47.0239289887302
"140100-14",49.0319990651759
"140120-14",36.4916427138153
"140290-14",56.4355823769623
"140300-14",68.2692458459254
"140320-14",49.8001920415579
"140340-14",86.6497107489634
"140360-14",44.6447553276628
"140380-14",46.5115037071099
"140400-14",49.9972358011679
"140480-14",37.4132551873265
"140560-14",72.0004577790571
"140600-14",50.4213103763784
"140630-14",44.4990659957355
"140650-14",47.229598411201
"140680-14",72.4070353583801
"140710-14",57.230030332335
"140800-14",117.405759393261
"140850-14",76.3580831989586
"140890-14",89.9191961773245
"140900-14",53.4353646015005
"140910-14",85.2817312338074
"140920-14",46.0703172869451
"140940-14",67.0308970440796
"140960-14",56.1138524325596
"140980-14",36.2467156207571
"141000-14",72.108096995988
"141010-14",43.6907727229067
"141060-14",54.7160478423452
"141070-14",53.7430713204009
"141080-14",51.3790558310746
"141090-14",45.8963421235558
"141100-14",41.6002160990612
"141110-14",92.6367480511727
"141120-14",74.5023276411899
"141130-14",79.936522796836
"141150-14",42.8700298741327
"141160-14",71.3832962193055
"141490-14",51.5155656408686
"140040-15",46.5457638321734
"140050-15",43.1810786402638
"140060-15",41.1203287712977
"140070-15",45.227815690754
"140100-15",54.2851776907285
"140120-15",72.7997874299888
"140290-15",39.1871892279772
"140300-15",74.8963576568211
"140320-15",47.4247261255242
"140340-15",83.9379123676333
"140380-15",46.0655457782404
"140400-15",44.0797166133952
"140480-15",38.4339065161589
"140560-15",53.7185472879149
"140600-15",49.5939860288686
"140630-15",42.782458108977
"140650-15",41.4333863473664
"140680-15",47.250614244831
"140710-15",47.8818786901691
"140800-15",89.1034808535556
"140850-15",60.8999789646102
"140890-15",49.9031472685179
"140910-15",54.5745911461824
"140940-15",49.4932434599938
"140960-15",47.5110105422049
"140980-15",52.1803101622002
"141000-15",57.8436439096938
"141010-15",43.6317265025628
"141060-15",43.7000172765998
"141070-15",49.6304988626591
"141080-15",40.4157435108388
"141100-15",48.1753159480985
"141120-15",51.8885235620803
"141130-15",47.5861684317741
"141150-15",48.8514314081179
"141160-15",69.282022903804
"141490-15",50.2960768950641
"150360-15",86.1840361856744
"150920-15",50.549321281321
"151110-15",43.3647667754432
