"AnimalID","IFBF","preg_pspb","LactStatus","girthmass","adjmass","Age"
141100,7.260082294,1,"No",239.802,173.0159706,6
140930,9.284256319,1,"No",237.025,170.665851,5
140060,9.089089089,1,"No",220.363,162.0426496,3
140650,6.729838296,1,"Yes",245.356,176.2103762,7
141090,6.935473649,1,"No",245.356,176.1215301,3
140070,NA,1,"",245.356,NA,10
140380,7.316940753,1,"No",223.14,164.1100132,6
141150,10.5991,1,"No",NA,NA,6
140120,6.710628485,0,"Yes",234.248,170.2582732,8
142090,6.570881125,1,"Yes",245.356,176.2781473,4
140600,8.20349831,1,"No",250.91,178.4768898,7
141250,7.085770044,1,"Yes",231.471,168.6352971,4
140910,6.384885409,1,"No",237.025,171.8705813,4
141120,7.536775,1,"No",NA,NA,8
140560,6.450307748,1,"No",275.903,192.7656858,10
141160,7.078414277,1,"No",273.126,190.901084,6
140850,7.790796019,1,"No",248.133,177.2106039,4
141110,8.516164147,1,"No",256.464,181.239348,7
141130,7.1698,1,"Yes",NA,NA,3
141490,8.959,1,"No",NA,NA,NA
140900,6.142695964,1,"Yes",242.579,174.9576116,7
141070,8.821775057,1,"No",262.018,183.9829328,6
140480,9.076155745,1,"No",272.4236967,189.2737013,6
141060,8.566667539,1,"Yes",284.6522162,196.0359186,6
140960,7.049136441,1,"Yes",265.086585,186.6204824,8
140400,6.394201463,1,"Yes",272.4236967,190.9258053,NA
140800,7.187721394,0,"No",233.2924343,169.5707673,10
140890,9.427563623,1,"Yes",257.7494733,181.3959576,8
141000,8.38847516,1,"Unknown",272.4236967,189.7187912,5
141080,7.991302813,1,"No",260.1951772,183.4976013,8
140100,7.537929237,1,"No",265.086585,186.3467704,9
141010,6.59316305,1,"Yes",238.1838421,172.41541,7
140320,9.5554,1,"No",NA,NA,7
140920,6.590042304,0,"No",269.9779928,189.4987763,9
140710,6.560343644,1,"No",265.086585,186.8867125,4
140040,6.223059964,1,"Yes",240.629546,173.8743028,8
140290,7.512351416,1,"No",257.7494733,182.4581624,8
140630,10.44214193,1,"No",296.8807357,200.9439144,5
140050,8.495814135,1,"No",267.5322889,187.0758846,8
140940,13.292,1,"No",260.1951772,180.1227008,4
140340,7.399225,1,"Yes",252.8580655,179.9120507,7
140680,6.301052223,1,"No",279.7608084,194.9333735,10
140300,8.026735259,0,"No",255.3037694,180.8903571,6
140360,7.686356506,1,"No",252.8580655,179.7692185,3
140980,7.16318412,1,"No",269.9779928,189.1691889,6
