"AnimalID","Location"
140040,"Burnt Fork"
140050,"Iron Cap"
140060,"Sapphire Ranch"
140070,"Ski Hill"
140100,"Burnt Fork"
140120,"Burnt Fork"
140290,"Iron Cap"
140300,"Miller Creek"
140320,"Burnt Fork"
140340,"Miller Creek"
140360,"Burnt Fork"
140380,"Ski Hill"
140400,"MPG"
140480,"MPG"
140560,"Miller Creek"
140600,"N. Woodchuck"
140630,"Iron Cap"
140650,"Ski Hill"
140680,"Miller Creek"
140710,"MPG North"
140800,"MPG"
140850,"Miller Creek"
140890,"MPG"
140900,"S. Miller Creek"
140910,"Miller Creek"
140920,"Burnt Fork"
140930,"MPG North"
140940,"MPG Ranch"
140960,"MPG"
140980,"Iron Cap"
141000,"MPG"
141010,"Burnt Fork"
141060,"MPG"
141070,"Davis Creek"
141080,"MPG"
141090,"Ski Hill"
141100,"Sapphire Ranch, S. Davis Crk"
141110,"S. Miller Creek"
141120,"Miller Creek"
141130,"S. Miller Creek"
141150,"Burnt Fork"
141160,"Miller Creek"
141170,"Sapphire Ranch, S. Davis Crk"
141180,"Burnt Fork"
141200,"3 Mile WMA"
141210,"Miller Creek"
141220,"3 Mile WMA"
141250,"N. Woodchuck"
141260,"Burnt Fork"
141290,"3 Mile WMA"
141300,"MPG"
141340,"Burnt Fork"
141380,"3 Mile WMA"
141400,"Baldy-Davis"
141420,"Burnt Fork"
141470,"Burnt Fork"
141490,"S. Miller Creek"
141500,"Davis Creek"
141520,"3 Mile WMA"
141560,"Sapphire Ranch, S. Davis Crk"
141570,"Miller Creek"
141580,"Sapphire Ranch, S. Davis Crk"
141610,"Burnt Fork"
141630,"Miller Creek"
142090,"N. Woodchuck"
150360,"N Woodchuck Creek"
150920,"Iron Cap"
151110,"Ambrose Creek"
151170,"Davis Creek"
151200,"MPG Ranch"
151220,"Haacke Creek"
151300,"MPG Ranch"
151380,"Haacke Creek"
151500,"Threemile Creek"
151570,"Davis Creek"
151580,"Haacke Creek"
