"IndivYr","nExc","nGood","nMarg","nPoor"
"140040-14",0,3,41,18
"140040-15",0,1,42,19
"140050-14",22,26,13,1
"140050-15",33,19,10,0
"140060-14",12,38,12,0
"140060-15",22,25,15,0
"140070-14",46,13,3,0
"140070-15",48,5,9,0
"140100-14",0,19,38,5
"140100-15",5,34,19,4
"140120-14",0,5,40,17
"140120-15",0,0,7,4
"140290-14",10,36,15,1
"140290-15",34,25,3,0
"140300-14",1,7,51,3
"140300-15",13,21,28,0
"140320-14",0,0,41,21
"140320-15",1,16,45,0
"140340-14",3,9,50,0
"140340-15",1,25,36,0
"140360-14",0,12,34,16
"140380-14",39,18,4,1
"140380-15",46,7,9,0
"140400-14",13,27,22,0
"140400-15",27,18,17,0
"140480-14",12,42,7,1
"140480-15",33,24,5,0
"140560-14",0,12,43,7
"140560-15",11,5,46,0
"140600-14",10,40,12,0
"140600-15",40,20,2,0
"140630-14",18,29,12,3
"140630-15",23,24,13,2
"140650-14",47,12,3,0
"140650-15",37,3,1,21
"140680-14",3,15,33,11
"140680-15",3,6,52,1
"140710-14",9,22,30,1
"140710-15",17,15,30,0
"140800-14",0,7,55,0
"140800-15",0,17,45,0
"140850-14",0,11,44,7
"140850-15",5,18,38,1
"140890-14",3,14,43,2
"140890-15",41,18,3,0
"140900-14",11,36,15,0
"140910-14",0,8,48,6
"140910-15",4,16,40,2
"140920-14",0,14,46,2
"140940-14",16,17,29,0
"140940-15",43,15,4,0
"140960-14",7,29,26,0
"140960-15",21,18,23,0
"140980-14",0,3,47,12
"140980-15",1,13,44,4
"141000-14",1,18,43,0
"141000-15",9,20,33,0
"141010-14",0,0,46,16
"141010-15",0,1,57,4
"141060-14",12,27,22,1
"141060-15",27,18,17,0
"141070-14",10,37,15,0
"141070-15",42,18,2,0
"141080-14",8,35,19,0
"141080-15",24,20,18,0
"141090-14",50,9,3,0
"141100-14",8,42,12,0
"141100-15",24,13,25,0
"141110-14",1,27,34,0
"141120-14",3,7,46,6
"141120-15",8,15,38,1
"141130-14",0,5,54,3
"141130-15",29,16,17,0
"141150-14",0,0,16,46
"141150-15",0,0,44,18
"141160-14",0,6,49,7
"141160-15",10,4,30,1
"141490-14",12,39,11,0
"141490-15",44,17,1,0
"150360-15",0,17,44,1
"150920-15",1,22,39,0
"151110-15",38,13,11,0
